Prüfung;Semester;Blatt;Aufgabe;Punkte
Theo1-25;2;1;1.1;2
Theo1-25;2;1;1.2;5
Theo1-25;2;1;1.3;3
Theo1-25;2;2;2.1;4
Theo1-25;2;2;2.2;3
Theo1-25;2;2;2.3;4
Theo1-25;2;3;3.1;4
Theo1-25;2;3;3.2;4
Theo1-25;2;3;3.3;3
Theo1-25;2;4;4.1;3
Theo1-25;2;4;4.2;3
Theo1-25;2;4;4.3;4
Theo1-25;2;5;5.1;3
Theo1-25;2;5;5.2;2
Theo1-25;2;5;5.3;3
Theo1-25;2;6;6.1;2
Theo1-25;2;7;7.1;4
Theo1-25;2;7;7.2;4
Theo1-25;2;7;7.3;1
Theo1-25;2;8;8.1;2
Theo1-25;2;8;8.2;4
Theo1-25;2;8;8.3;3
Theo1-25;2;9;9.1;3
Theo1-25;2;9;9.2;3
Theo1-25;2;9;9.3;3
Theo1-25;2;10;10.1;3
Theo1-25;2;10;10.2;3
Theo1-25;2;10;10.3;2
Theo1-25;2;11;11.1;3
Theo1-25;2;11;11.2;3
Theo1-25;2;11;11.3;1
Theo1-25;2;12;12.1;4
Theo1-25;2;12;12.2;3
Theo1-25;2;12;12.3;3
Theo1-25;2;13;13.1;4
Theo1-25;2;13;13.2;4
Theo1-25;2;13;13.3;2
Theo1-25;2;14;14.1;10
Theo1-25;2;14;14.2;14
Theo1-25;2;14;14.3;10
Theo1-25;2;14;14.4;7
